codigo|nombre|inicio|fin|ordinarias|extras|remunerado|incapacidad
D|06 a 18|06:00|18:00|8.4|2.8|0|0
N|Noche|18:00|06:00|8.4|2.8|0|0
Z|Descanso remunerado|00:00|00:00|0|0|1|0
L|LIBRE|00:00|12:00|0|0|0|0
AUS|Ausencia|00:00|00:00|0|0|0|0
C|10-6|22:00|06:00|7|1|1|0
D10|6-12.30|06:00|12:30|6.5|0|1|0
B6|1.30-9.00|13:30|21:00|7.5|0|1|0
B12|12.30-06.00|12:30|18:00|5.5|0|1|0
A|6 a 14|06:00|14:00|7|1|1|0
A1|6 a 13|06:00|13:00|7|0|1|0
A2|6 a 13:30|06:00|13:30|7.5|0|1|0
A3|6 a 12|06:00|12:00|6|0|1|0
A4|6 a 15|06:00|15:00|8|0|1|0
A5|06:30 a 15:00|06:30|15:00|8|0|1|0
A6|06 a 10|06:00|10:00|4|0|1|0
A7|06:0 a 11:00|06:00|11:00|5|0|1|0
A8|06:00 a 14:30|06:00|14:30|8.5|0|1|0
A9|06:30 a 17|06:30|17:00|8|0|1|0
A10|6:30 a 16|06:30|16:00|8|0|1|0
A11|06:00 a 16:00|06:00|16:00|9|0|1|0
A12|7:00 a 11:00|06:00|11:00|4|0|1|0
A13|06 a 16:30|06:00|16:30|9.5|0|1|0
A14|06 a 15:30|06:00|15:30|8.5|0|1|0
A15|06 a 17|06:00|17:00|10|0|1|0
A16|6:30 a 15:30|06:30|15:30|8|0|1|0
A17|6:30 a 16:30|06:30|16:30|9|0|1|0
B|10:00 - 18:00|10:00|18:00|8|0|1|0
B1|11 a 19|11:00|19:00|8|0|1|0
B2|13 a 21|13:00|21:00|8|0|1|0
B3|14:00 a 21:00|14:00|21:00|7|0|1|0
B4|13 a 20|13:00|20:00|7|0|1|0
B5|15 a 23|15:00|23:00|8|0|1|0
B7|12 a 18|12:00|18:00|6|0|1|0
B8|12 a 20|12:00|20:00|7|1|1|0
B9|13 a 18|13:00|18:00|5|0|1|0
B10|12 a 16|12:00|16:00|4|0|1|0
B11|14 a 22|14:00|22:00|8|0|1|0
B13|15 a 22|15:00|22:00|7|0|1|0
B14|13 a 17|13:00|17:00|4|0|1|0
C1|22 a 5|22:00|05:00|7|0|1|0
C3|21 a 5|21:00|05:00|8|0|1|0
C2|22 a 5;30|22:00|05:30|7.5|0|1|0
C4|21 a 06|21:00|06:00|8|0|1|0
D1|8:00 a 20:00|08:00|20:00|8.8|2.8|1|0
D2|07 a 14|07:00|14:00|7|0|1|0
D3|07 a 15|07:00|15:00|8|0|1|0
D4|07 a 16|07:00|16:00|8|0|1|0
D5|7 a 17|07:00|17:00|8|1|1|0
D6|07 a 17|07:00|17:00|8|0|1|0
D7|09 a 17|09:00|17:00|8|0|1|0
D8|10 a 18:45|10:00|18:45|8|0|1|0
D9|7:20 a 17|07:20|17:00|8|0|1|0
D11|7:30 a 13:30|07:30|13:30|6|0|1|0
E|06 a 18|06:00|18:00|8.8|3.2|1|0
E1|07 a 19|07:00|19:00|8|3|1|0
E2|18 a 6|18:00|06:00|8|3|1|0
F|06 a 11|06:00|16:30|8|0|1|0
F1|6 a 17|06:00|17:00|8|0|1|0
F2|7 a 17:30|07:00|17:30|8|0|1|0
F3|06 a 15|06:00|15:00|8|0|1|0
F4|7 a 17|07:00|17:00|8|0|1|0
F5|6 a 16|06:00|16:00|8|0|1|0
F6|06 a 16|06:00|16:00|8|0|1|0
F7|06 a 16|06:00|16:00|7|3|1|0
F8|07 a 18|07:00|18:00|8|0|1|0
F10|07 a 16|07:00|16:00|8|0|1|0
F9|07 a 17|07:00|17:00|9|0|1|0
F11|07 a 18|07:00|18:00|9|0|1|0
